Sample: svediakorp-sec452-NyblomH_FantasierFyra, time period: 1850-1900
Metric	Precision	Recall	F1
SYM	0.0000	0.0000	0.0000
PROPN	0.7000	1.0000	0.8235
DET	1.0000	1.0000	1.0000
SCONJ	0.7500	1.0000	0.8571
NUM	0.0000	0.0000	0.0000
ADP	1.0000	0.8333	0.9091
NOUN	0.8333	0.8929	0.8621
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	0.8462	0.7857	0.8148
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9217	0.9217	0.9217
Sample: svediakorp-sec1063-spf220, time period: 1850-1900
Metric	Precision	Recall	F1
AUX	0.7500	1.0000	0.8571
PART	1.0000	1.0000	1.0000
VERB	1.0000	1.0000	1.0000
PRON	0.9583	0.9200	0.9388
ADV	0.8750	0.7778	0.8235
CCONJ	0.8571	1.0000	0.9231
SYM	0.0000	0.0000	0.0000
PROPN	0.0000	0.0000	0.0000
DET	1.0000	1.0000	1.0000
SCONJ	1.0000	0.6667	0.8000
NUM	0.0000	0.0000	0.0000
ADP	0.9167	1.0000	0.9565
NOUN	0.9524	1.0000	0.9756
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9592	0.9592	0.9592
----------------------------------------------------------------------
Average scores for time period 1700-1750(3 samples with a total of 15 sentences):
Metric	Precision	Recall	F1
AUX	0.5833	0.5210	0.5425
PART	0.3333	0.2381	0.2778
VERB	0.8013	0.9081	0.8506
PRON	0.8573	0.7716	0.8109
ADV	0.6389	0.5104	0.5641
CCONJ	0.9316	0.8759	0.9024
SYM	0.0000	0.0000	0.0000
PROPN	0.3287	0.5690	0.4131
DET	0.9744	0.8333	0.8949
SCONJ	0.5625	0.4154	0.4433
NUM	0.2500	0.3333	0.2857
ADP	0.8749	0.8640	0.8694
NOUN	0.7785	0.7935	0.7832
X	0.0000	0.0000	0.0000
INTJ	0.0952	0.1667	0.1212
ADJ	0.8833	0.8019	0.8393
PUNCT	0.9848	1.0000	0.9922
TOTAL	0.8025	0.8025	0.8025

Average scores for time period 1750-1800(2 samples with a total of 17 sentences):
Metric	Precision	Recall	F1
AUX	0.8898	0.8280	0.8529
PART	0.9338	0.8084	0.8664
VERB	0.9297	0.9251	0.9271
PRON	0.9460	0.8467	0.8935
ADV	0.8039	0.9332	0.8630
CCONJ	0.9622	0.9452	0.9536
SYM	0.0000	0.0000	0.0000
PROPN	0.5845	0.8655	0.6974
DET	0.9585	0.9890	0.9733
SCONJ	0.8866	0.6048	0.6667
NUM	0.0000	0.0000	0.0000
ADP	0.9329	0.9857	0.9584
NOUN	0.8960	0.9238	0.9084
X	0.0000	0.0000	0.0000
INTJ	0.5294	0.5294	0.5294
ADJ	0.9814	0.8314	0.8996
PUNCT	0.9853	1.0000	0.9925
TOTAL	0.9092	0.9092	0.9092

Average scores for time period 1800-1850(6 samples with a total of 28 sentences):
Metric	Precision	Recall	F1
AUX	0.8418	0.8409	0.8286
PART	1.0000	0.9745	0.9863
VERB	0.9315	0.9100	0.9189
PRON	0.9665	0.8942	0.9283
ADV	0.8456	0.9318	0.8810
CCONJ	0.9095	0.9137	0.9110
SYM	0.0000	0.0000	0.0000
PROPN	0.5432	0.6450	0.5766
DET	1.0000	0.9702	0.9838
SCONJ	0.4520	0.6071	0.5162
NUM	0.3929	0.3929	0.3929
ADP	0.9929	0.9702	0.9801
NOUN	0.9086	0.9009	0.9024
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	0.8662	0.9128	0.8766
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9284	0.9284	0.9284

Average scores for time period 1850-1900(5 samples with a total of 24 sentences):
Metric	Precision	Recall	F1
AUX	0.7292	0.7098	0.7102
PART	1.0000	1.0000	1.0000
VERB	0.9601	0.9671	0.9625
PRON	0.9736	0.9502	0.9603
ADV	0.8773	0.9329	0.8985
CCONJ	0.8948	1.0000	0.9391
SYM	0.0000	0.0000	0.0000
PROPN	0.7500	0.6488	0.6921
DET	0.9811	0.9811	0.9811
SCONJ	0.8661	0.8869	0.8508
NUM	0.3333	0.3333	0.3333
ADP	0.9792	0.9826	0.9801
NOUN	0.9282	0.9937	0.9595
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	1.0000	0.9609	0.9784
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9628	0.9628	0.9628

Average scores for time period 1900-1950(5 samples with a total of 25 sentences):
Metric	Precision	Recall	F1
AUX	0.8500	0.9300	0.8848
PART	0.9000	1.0000	0.9333
VERB	0.9905	0.9438	0.9654
PRON	0.9773	0.9443	0.9590
ADV	0.9522	0.9276	0.9365
CCONJ	0.9867	0.9314	0.9568
SYM	0.0000	0.0000	0.0000
PROPN	0.8000	0.7100	0.7492
DET	0.9039	0.9750	0.9365
SCONJ	0.9000	0.7600	0.8206
NUM	0.2000	0.2000	0.2000
ADP	0.9411	0.9846	0.9615
NOUN	0.9666	0.9974	0.9816
X	0.0000	0.0000	0.0000
INTJ	0.0000	0.0000	0.0000
ADJ	0.9646	0.9651	0.9646
PUNCT	1.0000	1.0000	1.0000
TOTAL	0.9628	0.9628	0.9628

